price_cheapest,name_cheapest,price_dreher,district_nr,type_shop,address_shop,date_collection
190,Kozel,240,8,NonStop,"Práter u. 30, 1083",2017.10.07
190,Arany Facan,190,8,Chinese Small Shop,"Szigony u. 15, 1083",2017.10.07
119,Kőbanyai,249,8,SPAR,"Práter u. 50, 1083",2017.10.07
175,Rocky Cellar,210,8,Chinese Small Shop,"Práter u. 59, 1083",2017.10.07
159,Rocky Cellar,210,8,Chinese Small Shop,"Práter u. 54, 1083",2017.10.07
159,Rocky Cellar,260,8,Nemzeti Dohanybolt,"Práter u. 59, 1083",2017.10.07
190,Riesenbrau,230,8,Small Shop,"Baros u. 96, 1082",2017.10.07
139,Rocky Cellar,210,8,Nemzeti Dohanybolt,"Baros u. 96, 1082",2017.10.07
139,Riesenbrau,249,8,Small Shop,"Baros u. 82, 1082",2017.10.07
139,Riesenbrau,220,8,Mini Coop,"Baros u. 82, 1082",2017.10.07
